"EventType","EmployeeID","ReferenceID","Role","Control","Result","Action","Details"
"Access Request","1003","REQ001","Payment_Approver","Access Request Governance","Blocked","Blocked","Needs payment approval responsibilities"
"Access Request","1003","REQ002","Marketing_User","Access Request Governance","Approved","Approved","Needs access to marketing platform"
"Access Request","1001","REQ003","Security_Admin","Access Request Governance","Blocked","Blocked","Needs elevated security administration access"
"Access Request","1002","REQ004","Payroll_Admin","Access Request Governance","Denied","Denied","Manager did not approve payroll access"
"Provisioning","1003","REQ001","Payment_Approver","Access Provisioning","Not Provisioned","Not Provisioned","Access request was not approved"
"Provisioning","1003","REQ002","Marketing_User","Access Provisioning","Already Provisioned","Already Provisioned","Access already exists"
"Provisioning","1001","REQ003","Security_Admin","Access Provisioning","Not Provisioned","Not Provisioned","Access request was not approved"
"Provisioning","1002","REQ004","Payroll_Admin","Access Provisioning","Not Provisioned","Not Provisioned","Access request was not approved"
"Access Reconciliation","1001","","IT_HelpDesk","Access Reconciliation","Match","Match","Actual access matches expected access"
"Access Reconciliation","1002","","HR_User","Access Reconciliation","Match","Match","Actual access matches expected access"
"Access Reconciliation","1003","","Finance_Accountant","Access Reconciliation","Mismatch","Mismatch","Actual access does not match expected access"
"Access Remediation","1001","","IT_HelpDesk","Access Remediation","Compliant","No Action","Access matches assigned IAM role"
"Access Remediation","1002","","HR_User","Access Remediation","Compliant","No Action","Access matches assigned IAM role"
"Access Remediation","1003","","Finance_Accountant","Access Remediation","Remediation Required","Remediate Access","Actual access does not match assigned IAM role"
"Access Certification","1001","","IT_HelpDesk","Access Certification","Certified","Certified","Access is compliant with assigned IAM role"
"Access Certification","1002","","HR_User","Access Certification","Certified","Certified","Access is compliant with assigned IAM role"
"Access Certification","1003","","Finance_Accountant","Access Certification","Exception","Exception","Access mismatch requires remediation"
