"Control","Status","Reason"
"JML Lifecycle","PASS","Joiner, mover, and leaver processing is functioning"
"Access Requests","PASS","Requests are being evaluated through approval and policy controls"
"SoD Enforcement","PASS","SoD conflicts are detected and blocked"
"Provisioning","PASS","Approved access is provisioned and unauthorized access is prevented"
"Reconciliation","REVIEW","Access mismatch detected and remediation is required"
"Access Certification","REVIEW","Certification exception detected"
"Exception Management","REVIEW","Open IAM exception requires remediation"
"Privileged Access","PASS","Privileged access controls are enforcing approval and SoD requirements"
"Audit Trail","PASS","IAM events are being recorded"
"Control Metrics","PASS","IAM control metrics are being generated"
